customer id,state,gender,customer lifetime value,income,monthly premium auto,policy type,vehicle class,total claim amount
DZ87709,Oregon,F,559216.14,71811.0,71.0,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,F,800947.28,20961.0,67.0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,182071.51762901244,41275.0,96.0,Personal Auto,Four-Door Car,41.122303
OM82309,California,F,5816655.35,61321.0,186.0,Personal Auto,Luxury Car,427.63121
ZU35962,California,F,802522.94,0.0,77.0,Personal Auto,Two-Door Car,25.807685
VH85817,California,F,578018.22,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
DT85712,California,F,411853.91,34378.0,102.0,Personal Auto,SUV,489.6
YJ88573,Nevada,F,252307.02,43072.0,63.0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,F,655421.64,25222.0,90.0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,538275.2,77552.0,68.0,Corporate Auto,Four-Door Car,45.215059
ET79815,California,F,592672.94,23091.0,96.0,Personal Auto,Four-Door Car,460.8
QC35222,California,F,268347.07,48269.0,69.0,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,F,269518.24,32720.0,67.0,Personal Auto,Four-Door Car,321.6
OI48267,California,F,604702.52,20396.0,76.0,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,F,1317101.28,21513.0,119.0,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,1595001.95,0.0,87.0,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,F,252765.38,80744.0,63.0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,F,267209.58,52822.0,67.0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,F,531329.4,0.0,77.0,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,F,2094619.25,69738.0,74.0,Personal Auto,Four-Door Car,492.127532
KH48895,AZ,F,837535.39,17780.0,109.0,Personal Auto,SUV,132.588288
NZ30757,California,F,480166.15,18107.0,62.0,Personal Auto,Four-Door Car,297.6
RI22468,AZ,F,574594.33,57740.0,74.0,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,F,606611.6,32627.0,76.0,Personal Auto,Two-Door Car,380.036697
UG93476,California,F,800230.83,0.0,107.0,Personal Auto,SUV,513.6
AB96670,California,F,239391.54,0.0,70.0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,F,476281.79,65795.0,62.0,Corporate Auto,Two-Door Car,49.011099
EV68375,California,F,433038.6,60475.0,107.0,Personal Auto,Four-Door Car,513.6
UN51653,California,F,940272.98,0.0,130.0,Personal Auto,SUV,936.0
TO96662,Oregon,F,696669.45,41837.0,88.0,Personal Auto,Four-Door Car,142.062768
MR52087,California,F,769406.43,32303.0,65.0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,F,871756.11,0.0,117.0,Personal Auto,SUV,561.6
EP80820,California,F,592874.85,40531.0,74.0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,F,245297.73,79898.0,62.0,Corporate Auto,Four-Door Car,271.606799
WI57118,California,F,670157.17,56398.0,85.0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,M,499655.27,71600.0,63.0,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,F,849269.88,27804.0,109.0,Personal Auto,SUV,784.8
KN20603,Oregon,F,771349.4,45506.0,66.0,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,518579.76,99428.0,6464.0,Personal Auto,Four-Door Car,48.046869
JI70886,California,F,729006.98,0.0,102.0,Corporate Auto,SUV,489.6
VF72557,Oregon,F,477294.38,20993.0,133.0,Personal Auto,SUV,638.4
OX28638,AZ,F,680649.14,37839.0,86.0,Personal Auto,Two-Door Car,465.633954
SK55033,California,F,246978.13,92711.0,62.0,Personal Auto,Two-Door Car,368.400146
OO88645,California,F,310392.3,74665.0,78.0,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,F,1048491.54,61108.0,89.0,Personal Auto,Four-Door Car,49.451117
CW82151,California,F,890273.76,46833.0,112.0,Personal Auto,Sports Car,64.109663
DY22043,Oregon,F,549944.72,88768.0,68.0,Personal Auto,Two-Door Car,326.4
SH36774,California,F,1502359.86,28262.0,192.0,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,F,250910.79,33555.0,63.0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,F,3122174.81,42780.0,113.0,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,F,313350.34,58850.0,78.0,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,F,383745.19,21880.0,97.0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,F,1179049.62,25251.0,66.0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,282986.39,25317.0,71.0,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,F,430580.83,24188.0,109.0,Personal Auto,Sports Car,523.2
FV21968,Nevada,F,597397.69,41611.0,74.0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,F,567044.24,28406.0,72.0,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,F,473174.93,69833.0,118.0,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,F,802637.96,0.0,74.0,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,F,402296.35,0.0,117.0,Personal Auto,SUV,975.107098
PU25891,Oregon,F,961831.09,80536.0,119.0,Special Auto,Sports Car,53.798708
LH92841,Washington,F,725595.38,88891.0,89.0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,F,955292.69,97732.0,79.0,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,F,1038855.32,61222.0,89.0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,247012.12,0.0,74.0,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,M,561906.85,50335.0,140.0,Personal Auto,SUV,456.52385
LP84436,California,F,904711.92,0.0,127.0,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,268731.41,82210.0,68.0,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,F,373150.46,0.0,96.0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,366077.03,64495.0,92.0,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,F,792882.93,0.0,72.0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,501175.16,28859.0,67.0,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,798825.83,77330.0,99.0,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,M,388545.64,0.0,105.0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,F,935773.78,33060.0,117.0,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,M,254068.98,42557.0,65.0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,488516.25,26372.0,126.0,Personal Auto,SUV,604.8
BS77946,Arizona,F,975330.71,17514.0,127.0,Personal Auto,SUV,8.312729
YM50253,California,Femal,294615.37,89270.0,74.0,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,258111.09,29757.0,65.0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,M,351738.58,51814.0,92.0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,974335.01,24028.0,82.0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,387364.7,28142.0,105.0,Personal Auto,Sports Car,701.708239
OS94884,Arizona,F,764928.2,52705.0,64.0,Personal Auto,Two-Door Car,128.705563
ND87334,California,M,228759.69,0.0,63.0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,825576.39,54040.0,103.0,Personal Auto,SUV,59.987126
YL74911,California,F,871492.21,0.0,118.0,Personal Auto,SUV,566.4
GK92563,Washington,F,681923.12,22492.0,85.0,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,741619.73,0.0,77.0,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,777115.9,21876.0,68.0,Personal Auto,Four-Door Car,465.41477
IC13702,California,F,696834.19,0.0,69.0,Personal Auto,Four-Door Car,496.8
BE10809,California,F,425028.26,0.0,61.0,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,1977656.65,70699.0,82.0,Personal Auto,Four-Door Car,256.813837
TH95618,California,F,2134346.6,0.0,74.0,Personal Auto,Four-Door Car,355.2
TS19868,California,M,241313.97,27501.0,63.0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,1536384.72,15897.0,101.0,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,F,845696.19,25141.0,73.0,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,218964.25,0.0,61.0,Personal Auto,Four-Door Car,292.8
DX91392,California,M,578018.22,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,463998.16,28358.0,117.0,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,382443.13,62530.0,95.0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,596811.89,90972.0,74.0,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,F,859033.5,63110.0,72.0,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,407663.47,29549.0,104.0,Personal Auto,Sports Car,710.433775
IU25463,California,F,1225260.18,0.0,115.0,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,F,1693627.15,39411.0,217.0,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,489243.55,21709.0,62.0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,994230.48,67890.0,85.0,Personal Auto,Four-Door Car,408.0
AB13432,California,M,373583.81,0.0,110.0,Personal Auto,SUV,792.0
OZ97704,California,F,1311752.22,84311.0,111.0,Personal Auto,SUV,532.8
UF46533,California,F,457452.41,99316.0,114.0,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,547006.06,54507.0,138.0,Personal Auto,SUV,702.990032
GK73582,California,F,297884.6,64586.0,76.0,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,M,641096.75,61709.0,82.0,Personal Auto,Four-Door Car,275.395894
II62831,California,M,447902.31,94656.0,111.0,Special Auto,SUV,459.738128
XK33449,California,F,238373.19,0.0,69.0,Special Auto,Two-Door Car,496.8
TR85083,California,M,276449.37,61085.0,70.0,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,F,792010.54,89284.0,67.0,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,688909.8,0.0,63.0,Personal Auto,Four-Door Car,302.4
YL83902,WA,F,327419.46,31686.0,81.0,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,M,995170.77,56855.0,255.0,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,M,252155.57,53703.0,67.0,Special Auto,Four-Door Car,67.632476
EH41854,WA,F,2370611.34,0.0,96.0,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,604702.52,20396.0,76.0,Personal Auto,Four-Door Car,364.8
SL22297,California,F,1114030.25,27679.0,150.0,Personal Auto,SUV,722.486994
RV14138,Nevada,F,433406.41,23904.0,123.0,Personal Auto,SUV,590.4
UO62808,Arizona,F,279974.79,65351.0,69.0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,792313.66,0.0,113.0,Personal Auto,SUV,1124.427734
FL34139,California,M,368811.09,0.0,63.0,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,1206745.6,0.0,116.0,Personal Auto,SUV,1284.093173
XX12304,California,F,292497.67,64459.0,72.0,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,1501409.27,32961.0,190.0,Corporate Auto,SUV,912.0
OY38576,Oregon,F,927723.38,71416.0,116.0,Corporate Auto,SUV,556.8
BG76355,WA,F,627412.39,68964.0,78.0,Personal Auto,Four-Door Car,115.086827
IP66913,Cali,M,388664.74,78108.0,98.0,Personal Auto,Two-Door Car,470.4
LE95702,Cali,M,438627.76,10621.0,67.0,Special Auto,Four-Door Car,321.6
KX54357,WA,M,1136526.77,84910.0,95.0,Corporate Auto,Two-Door Car,383.167471
EZ78112,Cali,Femal,561096.43,77493.0,70.0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,291289.2,81097.0,74.0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Femal,691572.99,96610.0,85.0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,626266.33,30110.0,159.0,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,Femal,650339.7,22081.0,84.0,Special Auto,Two-Door Car,451.670309
KY33386,WA,Femal,800739.94,0.0,112.0,Personal Auto,Sports Car,537.6
CO44221,Cali,M,292991.65,98473.0,72.0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Femal,596955.3,97431.0,74.0,Personal Auto,Four-Door Car,355.2
DE21533,Cali,M,547315.99,93870.0,69.0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,564539.67,50366.0,72.0,Personal Auto,Four-Door Car,428.734656
UK68427,WA,M,636926.24,34498.0,83.0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Femal,1183376.73,16552.0,103.0,Personal Auto,SUV,494.4
RA88421,Oregon,Femal,612110.79,26787.0,77.0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,515936.97,0.0,74.0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Femal,251459.2,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,866861.13,21474.0,114.0,Corporate Auto,SUV,373.428187
WU14435,Cali,M,496096.54,18174.0,66.0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Femal,550413.9,0.0,73.0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,750745.54,60920.0,64.0,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,Male,3226985.14,41520.0,90.0,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,Femal,565703.16,0.0,152.0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,506175.79,0.0,68.0,Personal Auto,Two-Door Car,326.4
BH36570,Cali,Male,591278.38,72208.0,73.0,Personal Auto,Two-Door Car,350.4
TX17484,Cali,Femal,1518227.98,53863.0,63.0,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,1074703.09,66446.0,136.0,Corporate Auto,SUV,639.464548
AO87348,WA,Male,205062.35,0.0,61.0,Personal Auto,Four-Door Car,292.8
DE55857,WA,Femal,246544.49,64997.0,63.0,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Femal,534312.13,64460.0,66.0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Femal,811982.91,46618.0,67.0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Femal,460526.52,0.0,64.0,Corporate Auto,Four-Door Car,307.2
HP36979,Cali,Male,640878.56,49988.0,84.0,Personal Auto,Two-Door Car,566.935022
PP40919,Cali,Femal,237653.35,0.0,91.0,Personal Auto,Two-Door Car,436.8
RO73268,Cali,M,321107.0,16269.0,86.0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,509452.23,72006.0,64.0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,2575527.82,0.0,81.0,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,867222.97,0.0,245.0,Corporate Auto,Luxury SUV,2345.413441
HR10526,Cali,M,804473.07,44320.0,67.0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,400151.91,19782.0,108.0,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,1670611.7,63933.0,70.0,Personal Auto,Two-Door Car,424.883448
PK52952,Arizona,M,854441.11,28224.0,109.0,Personal Auto,SUV,523.2
OD76309,WA,F,780531.29,21073.0,106.0,Personal Auto,SUV,508.8
IL28481,Oregon,M,611275.69,63243.0,77.0,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,477294.38,20993.0,133.0,Personal Auto,SUV,638.4
UF33451,Oregon,F,1097909.56,94827.0,135.0,Personal Auto,SUV,354.729129
CF15558,Cali,F,500426.38,39161.0,63.0,Personal Auto,Two-Door Car,283.995953
JM62924,WA,M,1322304.38,37534.0,84.0,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,F,262331.54,80210.0,65.0,Corporate Auto,Four-Door Car,20.543176
QX45933,Cali,M,1784019.56,0.0,62.0,Personal Auto,Four-Door Car,385.115437
JI71369,Cali,F,510611.18,30110.0,64.0,Personal Auto,Four-Door Car,140.165035
JU93290,Arizona,F,1793060.45,21708.0,68.0,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,M,545734.26,94731.0,67.0,Personal Auto,Four-Door Car,321.6
UC33108,Cali,M,656364.41,32375.0,83.0,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,M,481252.52,16531.0,63.0,Corporate Auto,Four-Door Car,102.879769
OU78470,Arizona,F,2932804.19,32006.0,94.0,Corporate Auto,Four-Door Car,56.868289
XW90265,Arizona,F,577352.07,81676.0,72.0,Personal Auto,Two-Door Car,463.158502
HS67749,Cali,M,684711.89,71038.0,86.0,Corporate Auto,Four-Door Car,205.444066
VZ51506,Arizona,F,359531.29,0.0,103.0,Corporate Auto,Sports Car,741.6
UI64281,Nevada,F,2285561.21,20832.0,65.0,Personal Auto,Two-Door Car,56.371967
AE98193,WA,M,785941.46,0.0,113.0,Personal Auto,SUV,813.6
AZ74055,Oregon,M,411557.74,52405.0,103.0,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,F,502963.88,0.0,133.0,Personal Auto,Sports Car,795.864079
AY40674,WA,F,482141.85,26583.0,1005.0,Personal Auto,SUV,614.4
NA12740,Oregon,M,500431.05,25486.0,65.0,Special Auto,Two-Door Car,72.438681
UA84837,Arizona,M,863005.39,24065.0,111.0,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,F,932208.51,70435.0,116.0,Personal Auto,Four-Door Car,67.881546
VM58985,Cali,M,1672756.06,0.0,76.0,Personal Auto,Two-Door Car,402.636829
OH60605,Oregon,F,365253.24,39679.0,92.0,Personal Auto,Two-Door Car,641.388616
UO98052,Nevada,M,615860.12,0.0,89.0,Personal Auto,Four-Door Car,342.481173
NC53424,Cali,M,437608.4,0.0,69.0,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,M,556945.62,53565.0,71.0,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,257651.3,37574.0,66.0,Personal Auto,Two-Door Car,412.101933
NB79936,WA,M,834698.32,48259.0,108.0,Personal Auto,Two-Door Car,73.700573
NT89061,Arizona,F,632392.39,78532.0,78.0,Personal Auto,Four-Door Car,374.4
AF10970,Arizona,F,597314.34,96163.0,73.0,Corporate Auto,Four-Door Car,350.4
ZG48513,Cali,M,470667.7,0.0,72.0,Personal Auto,Four-Door Car,345.6
JQ59145,Cali,Male,809341.03,0.0,114.0,Personal Auto,Sports Car,722.024742
FE84989,WA,Male,503574.46,72672.0,63.0,Personal Auto,Four-Door Car,259.361117
JT52858,Oregon,F,902786.72,99002.0,112.0,Personal Auto,Four-Door Car,537.6
MC62068,California,Male,728888.48,79494.0,91.0,Personal Auto,Four-Door Car,396.295614
EU27538,Oregon,Male,1804247.94,35704.0,225.0,Personal Auto,Luxury Car,358.281562
RH42306,Arizona,F,499206.3,0.0,71.0,Corporate Auto,Four-Door Car,653.388564
US23612,Oregon,F,910226.78,26049.0,118.0,Personal Auto,Two-Door Car,121.032372
WV76014,Arizona,Male,254040.77,70125.0,64.0,Special Auto,Four-Door Car,92.813396
RK96223,California,Male,1294189.19,52369.0,110.0,Personal Auto,SUV,528.0
MF82000,WA,female,236534.86,0.0,66.0,Special Auto,Four-Door Car,159.636956
FM46980,Arizona,Male,572076.51,41770.0,72.0,Personal Auto,Four-Door Car,476.156957
SY56792,Oregon,Male,703553.41,0.0,101.0,Corporate Auto,Four-Door Car,727.2
RF61565,California,M,263697.77,31911.0,67.0,Personal Auto,Four-Door Car,321.6
IM94808,Nevada,M,539583.2,70051.0,68.0,Corporate Auto,Four-Door Car,42.078345
VI14730,Oregon,M,838263.01,19683.0,117.0,Personal Auto,Sports Car,561.6
YR34119,WA,F,3116174.52,30916.0,112.0,Personal Auto,SUV,200.11606
RR77985,Oregon,F,288774.23,0.0,80.0,Personal Auto,Four-Door Car,676.944023
QD28391,Washington,M,742584.53,84302.0,62.0,Personal Auto,Four-Door Car,76.609295
WV17090,California,M,2558572.78,0.0,116.0,Corporate Auto,SUV,830.623064
TM23514,Oregon,M,1027260.82,60145.0,132.0,Personal Auto,SUV,580.473259
MQ68407,Oregon,F,437636.36,63774.0,111.0,Personal Auto,Four-Door Car,60.036683
GJ59592,California,F,531889.66,25134.0,67.0,Corporate Auto,Four-Door Car,321.6
FY56083,Oregon,M,471976.22,37057.0,61.0,Personal Auto,Four-Door Car,47.53101
UA94723,Oregon,F,442803.16,58577.0,110.0,Personal Auto,SUV,303.872752
FW91032,California,M,587917.61,85857.0,73.0,Corporate Auto,Four-Door Car,100.620067
DE34457,Oregon,F,941690.85,70602.0,116.0,Personal Auto,SUV,481.339891
